setup,scheme,sum_se,mean_se,tau_p_actual,n_active_ap,n_active_rf,ee_bps_per_hz_per_watt
4,MJH beam-resource matching,275.65341684346714,5.513068336869343,4,171,673,2.0427598358065873
4,TopAP (bisect),257.4942186082979,5.149884372165958,15,199,1592,1.3855569809872093
4,Hybrid#3 (TopAP N=8 adaptive),266.91555309485454,5.338311061897091,8,173,1384,1.6236562260547753
4,Hybrid#4 (TopAP+greedy),257.4948906632484,5.1498978132649675,15,184,1472,1.4844055956759132
5,Random,260.5380576035717,5.210761152071434,15,200,1600,1.3957395943048487
5,Gao matching,260.6820620544776,5.213641241089553,15,200,1600,1.396511046720416
5,GC (Liu),260.6127369627101,5.212254739254202,15,200,1600,1.396139662300233
5,Structured (Chen),260.6255369834316,5.212510739668631,15,200,1600,1.3962082338398123
5,Mussbah,278.36068419498025,5.567213683899605,7,165,636,2.134149561289924
5,MJH weighted-count default,278.36068419498025,5.567213683899605,7,165,636,2.134149561289924
5,MJH weighted-count strict,284.7982109932275,5.69596421986455,3,165,636,2.183505112459098
5,MJH weighted-power,278.36068419498025,5.567213683899605,7,165,636,2.134149561289924
5,MJH beam-resource matching,281.1887979113899,5.623775958227798,5,165,636,2.1558322844252285
5,TopAP (bisect),260.66689284100664,5.213337856820133,15,196,1568,1.421560949869151
5,Hybrid#3 (TopAP N=8 adaptive),275.40821411895286,5.508164282379057,8,172,1376,1.6837673575644156
5,Hybrid#4 (TopAP+greedy),260.64378117770895,5.212875623554179,15,181,1448,1.5243069224292156
6,Random,281.3390172493297,5.626780344986594,15,200,1600,1.5071733066928379
6,Gao matching,282.5966279902151,5.651932559804302,15,200,1600,1.5139105070904384
6,GC (Liu),282.59302945266137,5.651860589053228,15,200,1600,1.5138912292106863
6,Structured (Chen),282.595262661577,5.65190525323154,15,200,1600,1.5139031928298772
6,Mussbah,298.7221220972829,5.9744424419456585,7,178,700,2.1405077179923304
6,MJH weighted-count default,298.7221220972829,5.9744424419456585,7,178,700,2.1405077179923304
6,MJH weighted-count strict,307.14006126399414,6.142801225279883,3,178,700,2.2008268655312837
6,MJH weighted-power,298.7221220972829,5.9744424419456585,7,178,700,2.1405077179923304
6,MJH beam-resource matching,303.17928055012885,6.063585611002577,5,178,700,2.172445701030374
6,TopAP (bisect),282.5925422997572,5.651850845995145,15,197,1576,1.5342308770741924
6,Hybrid#3 (TopAP N=8 adaptive),298.0102956283327,5.9602059125666536,6,181,1448,1.7428352003216496
6,Hybrid#4 (TopAP+greedy),282.6057105463816,5.652114210927632,15,190,1520,1.5839647485084447
7,Random,285.4279468498887,5.7085589369977745,15,200,1600,1.5290782866958328
7,Gao matching,285.04624544852385,5.700924908970477,15,200,1600,1.5270334577599496
7,GC (Liu),284.88689225850226,5.697737845170045,15,200,1600,1.5261797799562624
7,Structured (Chen),284.9156470973879,5.698312941947758,15,200,1600,1.5263338237360067
7,Mussbah,305.8632773390063,6.117265546780126,5,170,636,2.3004734174468346
7,MJH weighted-count default,305.8632773390063,6.117265546780126,5,170,636,2.3004734174468346
7,MJH weighted-count strict,311.1012081559222,6.222024163118444,3,170,636,2.339869191635788
7,MJH weighted-power,305.8632773390063,6.117265546780126,5,170,636,2.3004734174468346
7,MJH beam-resource matching,308.9958596854026,6.179917193708052,4,170,636,2.324034344664196
7,TopAP (bisect),284.89165931615946,5.697833186323189,15,200,1600,1.5262053177651402
7,Hybrid#3 (TopAP N=8 adaptive),300.9682861566731,6.019365723133462,8,182,1456,1.7516827208653012
7,Hybrid#4 (TopAP+greedy),284.8948639694888,5.697897279389776,15,191,1528,1.5894455193797323
8,Random,220.64108040214413,4.412821608042883,15,200,1600,1.1820057878686294
8,Gao matching,220.779791420313,4.41559582840626,15,200,1600,1.1827488826088197
8,GC (Liu),220.79648885713078,4.415929777142615,15,200,1600,1.1828383331632009
8,Structured (Chen),220.78433677923093,4.415686735584618,15,200,1600,1.1827732327458802
8,Mussbah,235.51825948490324,4.710365189698065,7,161,619,1.8438517685635507
8,MJH weighted-count default,235.51825948490324,4.710365189698065,7,161,619,1.8438517685635507
8,MJH weighted-count strict,237.70721853108125,4.754144370621625,3,161,619,1.8609889366856138
8,MJH weighted-power,235.51825948490324,4.710365189698065,7,161,619,1.8438517685635507
