K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
30,17,Gao matching,176.93276231047014,5.8977587436823375,15,0.9940042826430908
30,17,Mussbah,188.87417838487073,6.295805946162358,5,1.9895104901761285
30,17,Hybrid#3 (TopAP N=8 adaptive),188.5213861185397,6.284046203951323,7,1.5057618699563875
30,17,MJH weighted-count strict,190.3135211588788,6.343784038629294,3,2.0046718402999826
30,17,MJH beam-resource matching,188.62600408510536,6.287533469503512,5,1.986896340497239
30,18,Random,174.27000404751888,5.809000134917296,15,0.979044966559095
30,18,Gao matching,173.148659848873,5.771621994962433,15,0.9727452800498484
30,18,Mussbah,184.98202730046864,6.1660675766822886,6,1.803822791813444
30,18,Hybrid#3 (TopAP N=8 adaptive),182.83090725310547,6.0943635751035155,7,1.3700330255009778
30,18,MJH weighted-count strict,189.50597655130113,6.316865885043371,3,1.8479373627625661
30,18,MJH beam-resource matching,189.49027215084982,6.316342405028327,3,1.8477842238015587
30,19,Random,192.30761410940096,6.4102538036466985,15,1.0803798545471965
30,19,Gao matching,190.9090342994664,6.363634476648881,15,1.072522664603744
30,19,Mussbah,206.4659830053118,6.882199433510394,5,2.24468344211037
30,19,Hybrid#3 (TopAP N=8 adaptive),206.47123573460348,6.882374524486782,5,1.6067800446272644
30,19,MJH weighted-count strict,207.30868098349876,6.910289366116626,2,2.2538451944281235
30,19,MJH beam-resource matching,207.7225440945916,6.924084803153053,4,2.2583446846552686
30,20,Random,188.90490874505662,6.2968302915018874,15,1.0612635322755992
30,20,Gao matching,188.50095373101567,6.283365124367189,15,1.058994122084358
30,20,Mussbah,204.3679939379276,6.812266464597586,4,1.9980250666072994
30,20,Hybrid#3 (TopAP N=8 adaptive),202.7003455989464,6.756678186631547,5,1.5283720686065707
30,20,MJH weighted-count strict,206.9839342358464,6.899464474528213,2,2.023600080518614
30,20,MJH beam-resource matching,208.9478433394812,6.96492811131604,3,2.0428004432661804
30,21,Random,169.88736124340497,5.662912041446832,15,0.9544233777719382
30,21,Gao matching,168.3430156458421,5.611433854861403,15,0.9457472789092254
30,21,Mussbah,180.7074314895818,6.023581049652727,5,1.932803160485393
30,21,Hybrid#3 (TopAP N=8 adaptive),180.7560605704889,6.025202019016296,6,1.3888287404570798
30,21,MJH weighted-count strict,183.40145629704026,6.113381876568009,3,1.961617800920266
30,21,MJH beam-resource matching,182.4656510350752,6.08218836783584,4,1.9516086532442936
30,22,Random,174.36817307713457,5.812272435904486,14,0.9795964779614303
30,22,Gao matching,173.7072162901813,5.7902405430060435,15,0.9758832375852883
30,22,Mussbah,184.71158951902734,6.157052983967578,5,2.081257346693266
30,22,Hybrid#3 (TopAP N=8 adaptive),183.44302504103464,6.1147675013678215,6,1.4556082129818262
30,22,MJH weighted-count strict,189.22560202048487,6.307520067349496,2,2.1321194593857453
30,22,MJH beam-resource matching,187.7558815423742,6.258529384745807,3,2.1155592286464704
30,23,Random,191.76918670667422,6.392306223555807,15,1.07735498149817
30,23,Gao matching,192.92744578337437,6.430914859445812,15,1.0838620549627775
30,23,Mussbah,204.62570015753974,6.8208566719179915,6,2.2555742962691774
30,23,Hybrid#3 (TopAP N=8 adaptive),202.663783884905,6.755459462830166,7,1.618720318569529
30,23,MJH weighted-count strict,211.23701622183137,7.041233874061046,2,2.3284503551789175
30,23,MJH beam-resource matching,206.4224162242895,6.8807472074763165,4,2.2753793675516922
30,24,Random,205.57027307096524,6.852342435698842,14,1.1548891745559846
30,24,Gao matching,204.32286114836046,6.810762038278682,15,1.1478812424065197
30,24,Mussbah,219.6451528850897,7.321505096169656,5,2.4430805059239167
30,24,Hybrid#3 (TopAP N=8 adaptive),219.70516586429994,7.323505528809998,5,1.7097678277377428
30,24,MJH weighted-count strict,223.78677105799264,7.459559035266421,2,2.489147111484263
30,24,MJH beam-resource matching,222.84081394568904,7.428027131522968,3,2.47862537062109
30,25,Random,207.5227600716597,6.9174253357219895,15,1.1658582026497737
30,25,Gao matching,208.75836508424348,6.958612169474782,15,1.1727998038440646
30,25,Mussbah,221.8499917859598,7.39499972619866,5,2.3026622220764943
30,25,Hybrid#3 (TopAP N=8 adaptive),219.96613364089953,7.332204454696651,6,1.6900970698494011
30,25,MJH weighted-count strict,226.65974651491322,7.5553248838304405,3,2.352584425916376
30,25,MJH beam-resource matching,227.08767183198637,7.569589061066212,3,2.3570260193262382
30,26,Random,178.8241900089606,5.9608063336320205,15,1.0046302809492171
30,26,Gao matching,179.40899840222326,5.980299946740775,15,1.007915721360805
30,26,Mussbah,191.56278692257195,6.385426230752398,4,1.9994028485812751
30,26,Hybrid#3 (TopAP N=8 adaptive),192.496191109737,6.4165397036579,5,1.4424592814517574
30,26,MJH weighted-count strict,194.38072597971188,6.479357532657063,2,2.0288145911670172
30,26,MJH beam-resource matching,197.13734499848547,6.571244833282849,3,2.057586316652599
30,27,Random,193.53925511629345,6.451308503876448,14,1.0872991860465926
30,27,Gao matching,194.3332767068006,6.477775890226686,15,1.0917599814988799
30,27,Mussbah,207.07127437660156,6.902375812553386,5,2.2892186653761715
30,27,Hybrid#3 (TopAP N=8 adaptive),207.14235993199233,6.904745331066411,5,1.6544916927475428
30,27,MJH weighted-count strict,212.8699231447905,7.0956641048263505,2,2.3533240080127196
30,27,MJH beam-resource matching,210.66587484582655,7.022195828194218,4,2.3289577673520157
30,28,Random,204.13073039841493,6.804357679947164,15,1.1468018561708706
30,28,Gao matching,204.69759471096557,6.823253157032186,15,1.1499864871402563
30,28,Mussbah,219.9257965266966,7.330859884223219,4,2.2575015040720245
30,28,Hybrid#3 (TopAP N=8 adaptive),219.7259348296574,7.324197827655246,5,1.6363875243318373
30,28,MJH weighted-count strict,225.35729162438437,7.511909720812812,2,2.313254892469559
30,28,MJH beam-resource matching,222.763118792119,7.425437293070633,3,2.2866261423949807
