tau_p_design,setup,scheme,sum_se,mean_se,p5_se,tau_p_actual,ee_bps_per_hz_per_watt
9,83,MJH weighted-count default,300.7800690632891,6.015601381265782,1.6794630475355543,7,2.2928514075642363
9,83,MJH weighted-count strict,304.729049438111,6.09458098876222,1.6193106570018354,3,2.3229545498337756
9,83,MJH weighted-power,300.7800690632891,6.015601381265782,1.6794630475355543,7,2.2928514075642363
9,83,MJH beam-resource matching,305.58389098513015,6.111677819702603,1.6936672768099093,4,2.329471020989698
9,83,TopAP (bisect),294.2652002422652,5.885304004845304,1.4671621915547337,9,1.68834922443566
9,83,Hybrid#3 (TopAP N=8 adaptive),296.3631237764831,5.927262475529663,1.4545027841192912,8,1.7848720127065485
9,83,Hybrid#4 (TopAP+greedy),294.2922084500551,5.8858441690011025,1.4647516608337507,9,1.6885041842699793
9,84,Random,265.5876309050531,5.311752618101062,1.4488554114740275,9,1.4227908798484992
9,84,Gao matching,265.6310390215556,5.312620780431112,1.445269094555372,9,1.4230234233297623
9,84,GC (Liu),265.56812841243107,5.311362568248621,1.4398694044180749,9,1.4226864022094525
9,84,Structured (Chen),265.8758958774096,5.317517917548193,1.4671924908509684,9,1.4243351564861233
9,84,Mussbah,261.01659073496876,5.220331814699375,1.4661813353523598,10,2.0418773965890202
9,84,MJH weighted-count default,261.01659073496876,5.220331814699375,1.4661813353523598,10,2.0418773965890202
9,84,MJH weighted-count strict,274.8768239884964,5.497536479769929,1.4040329188895737,4,2.1503030599238304
9,84,MJH weighted-power,261.01659073496876,5.220331814699375,1.4661813353523598,10,2.0418773965890202
9,84,MJH beam-resource matching,274.99152934916197,5.499830586983239,1.4917894274223422,4,2.1512003756176377
9,84,TopAP (bisect),265.6085630208804,5.312171260417609,1.4416540513873328,9,1.607637827222115
9,84,Hybrid#3 (TopAP N=8 adaptive),265.5384533873578,5.310769067747156,1.4331533282210487,9,1.607213477579085
9,84,Hybrid#4 (TopAP+greedy),265.67112216129993,5.313422443225999,1.4310759357099996,9,1.5537080101055605
9,85,Random,250.4169827191663,5.008339654383326,1.0564166326882578,9,1.3415195502812483
9,85,Gao matching,250.39834740439483,5.007966948087897,1.047733461807038,9,1.3414197182378298
9,85,GC (Liu),250.44165995847024,5.008833199169405,1.0576791062719044,9,1.3416517497775193
9,85,Structured (Chen),250.30591596530954,5.006118319306191,1.0586838041127757,9,1.3409245498141584
9,85,Mussbah,254.47257474851594,5.0894514949703185,1.036605210312624,7,1.971865852812305
9,85,MJH weighted-count default,254.47257474851594,5.0894514949703185,1.036605210312624,7,1.971865852812305
9,85,MJH weighted-count strict,265.75165593225256,5.315033118645051,1.1452940482705356,4,2.059265585609789
9,85,MJH weighted-power,254.47257474851594,5.0894514949703185,1.036605210312624,7,1.971865852812305
9,85,MJH beam-resource matching,258.4346472884507,5.168692945769014,1.0833101665238083,5,2.002567296987905
9,85,TopAP (bisect),250.34090420204834,5.006818084040967,1.0573415701384072,9,1.5002451310550242
9,85,Hybrid#3 (TopAP N=8 adaptive),251.0710375193289,5.021420750386579,1.0786667510759245,8,1.5506188627030095
9,85,Hybrid#4 (TopAP+greedy),250.54353654310987,5.010870730862197,1.0573792310138614,9,1.4582027541552618
9,86,Random,302.98230002229604,6.0596460004459205,2.0082331682443546,9,1.6231194644051576
9,86,Gao matching,301.9745233148768,6.039490466297536,1.9860298056700219,9,1.6177206606154118
9,86,GC (Liu),302.12500795369414,6.0425001590738825,1.9327374148836545,9,1.6185268283233618
9,86,Structured (Chen),302.17908459552604,6.0435816919105205,1.9307186340438145,9,1.6188165246188897
9,86,Mussbah,306.2399293601467,6.124798587202934,1.8875738919928984,8,2.3270216640631203
9,86,MJH weighted-count default,306.2399293601467,6.124798587202934,1.8875738919928984,8,2.3270216640631203
9,86,MJH weighted-count strict,313.5522176857304,6.271044353714608,1.8581657693271323,3,2.382585461321897
9,86,MJH weighted-power,306.2399293601467,6.124798587202934,1.8875738919928984,8,2.3270216640631203
9,86,MJH beam-resource matching,308.8300966569013,6.176601933138025,1.8083644538914683,6,2.346703537115042
9,86,TopAP (bisect),302.1286531084475,6.04257306216895,1.930592868515144,9,1.7334658557501172
9,86,Hybrid#3 (TopAP N=8 adaptive),306.26207610458846,6.125241522091769,1.893377757061347,8,1.8444892914705453
9,86,Hybrid#4 (TopAP+greedy),302.1475302309308,6.042950604618616,1.9269503666881673,9,1.7335741634095958
9,87,Random,274.28574071835044,5.485714814367009,0.6625649154203332,9,1.469387896705449
9,87,Gao matching,274.7827275889635,5.49565455177927,0.6565743018516281,9,1.4720503263694475
9,87,GC (Liu),274.879485985303,5.49758971970606,0.6798150253251786,9,1.4725686749212663
9,87,Structured (Chen),274.848257714467,5.496965154289341,0.6803081801545959,9,1.4724013806132166
9,87,Mussbah,279.3200971643312,5.586401943286623,0.5973937849774398,6,2.1564678869035814
9,87,MJH weighted-count default,279.3200971643312,5.586401943286623,0.5973937849774398,6,2.1564678869035814
9,87,MJH weighted-count strict,284.85719522141227,5.697143904428246,0.6603539516818231,3,2.199216598034477
9,87,MJH weighted-power,279.3200971643312,5.586401943286623,0.5973937849774398,6,2.1564678869035814
9,87,MJH beam-resource matching,280.74698871727156,5.614939774345431,0.6477572012180132,4,2.167484086035861
9,87,TopAP (bisect),274.5202966554774,5.490405933109548,0.6358624488342335,9,1.597751265819056
9,87,Hybrid#3 (TopAP N=8 adaptive),277.132961873503,5.54265923747006,0.7588570359918712,7,1.6690567339934936
9,87,Hybrid#4 (TopAP+greedy),274.76218709675993,5.495243741935199,0.6583977263409979,9,1.5991591061990105
9,88,Random,259.4462838840577,5.188925677681154,1.140515165235765,9,1.3898908065217381
9,88,Gao matching,259.19536260805313,5.183907252161062,1.1323217244623656,9,1.388546585400285
9,88,GC (Liu),259.25353994131797,5.185070798826359,1.1408603412685998,9,1.3888582496856323
9,88,Structured (Chen),259.4599298789446,5.1891985975788915,1.13209458593222,9,1.3899639100657748
9,88,Mussbah,263.2348613031474,5.264697226062948,1.063874191125139,7,1.9472674645463324
9,88,MJH weighted-count default,263.2348613031474,5.264697226062948,1.063874191125139,7,1.9472674645463324
9,88,MJH weighted-count strict,267.7408708848982,5.354817417697964,1.0958502806735442,4,1.9806004577906144
9,88,MJH weighted-power,263.2348613031474,5.264697226062948,1.063874191125139,7,1.9472674645463324
9,88,MJH beam-resource matching,263.85842835394624,5.277168567078925,1.1082640388712979,5,1.9518802723787467
9,88,TopAP (bisect),259.3657825036113,5.187315650072225,1.1389777911663046,9,1.516832881740502
9,88,Hybrid#3 (TopAP N=8 adaptive),259.4060859031383,5.188121718062766,1.136411088335168,9,1.5700963536959853
9,88,Hybrid#4 (TopAP+greedy),259.40652473184247,5.188130494636849,1.1363769222707758,9,1.4954257767016286
9,89,Random,261.97828968268533,5.239565793653707,1.1097960691751336,9,1.4034551233001002
9,89,Gao matching,261.52274615244556,5.230454923048911,1.1205077752706771,9,1.4010147115309586
9,89,GC (Liu),261.427539736344,5.22855079472688,1.11492332582744,9,1.400504677158986
9,89,Structured (Chen),261.39192107331877,5.227838421466376,1.1082612435986414,9,1.4003138628927794
9,89,Mussbah,259.4302500643922,5.188605001287844,1.0674002578456399,8,1.9134611370592798
9,89,MJH weighted-count default,259.4302500643922,5.188605001287844,1.0674002578456399,8,1.9134611370592798
9,89,MJH weighted-count strict,271.903884425134,5.43807768850268,1.1735782848165854,3,2.0054620297124783
9,89,MJH weighted-power,259.4302500643922,5.188605001287844,1.0674002578456399,8,1.9134611370592798
9,89,MJH beam-resource matching,265.5590463732228,5.311180927464457,1.0587668186471004,5,1.9586648615709317
9,89,TopAP (bisect),261.6356437442076,5.232712874884152,1.1163796006305038,9,1.5082761937598441
9,89,Hybrid#3 (TopAP N=8 adaptive),259.44841122632795,5.188968224526559,1.0679729386733072,8,1.5246723480489404
