K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
25,11,MJH weighted-count strict,169.31772250290516,6.772708900116206,2,3.057196313624529
25,11,MJH beam-resource matching,168.68123976398198,6.747249590559279,3,3.045703998145928
25,12,Random,179.342465447768,7.17369861791072,10,1.9215264155118004
25,12,Gao matching,181.53661624423734,7.2614646497694935,10,1.9450351740454004
25,12,Mussbah,193.5268870656946,7.741075482627784,4,3.3869886602519257
25,12,Hybrid#3 (TopAP N=8 adaptive),189.58391090090038,7.5833564360360155,7,2.272280194577312
25,12,MJH weighted-count strict,196.6235810061039,7.864943240244156,2,3.441185094760154
25,12,MJH beam-resource matching,195.0502319112867,7.802009276451468,3,3.4136493056842174
25,13,Random,164.07793737645937,6.563117495058375,10,1.757977900462065
25,13,Gao matching,162.80792209474458,6.512316883789783,10,1.7443705938722638
25,13,Mussbah,173.85341663357278,6.9541366653429115,3,3.1151873967491017
25,13,Hybrid#3 (TopAP N=8 adaptive),171.94023814444046,6.877609525777618,6,2.0208451104145797
25,13,MJH weighted-count strict,180.12352398818453,7.204940959527381,2,3.2275381332808935
25,13,MJH beam-resource matching,173.74073239591056,6.949629295836422,3,3.113168267509223
25,14,Random,124.99764257441406,4.999905702976562,10,1.3392604561544366
25,14,Gao matching,123.68373969926566,4.947349587970626,10,1.325182925349275
25,14,Mussbah,132.7397291902612,5.309589167610447,5,2.503185011602499
25,14,Hybrid#3 (TopAP N=8 adaptive),127.68497198399108,5.107398879359643,8,1.5612590827469872
25,14,MJH weighted-count strict,134.70168944321725,5.38806757772869,2,2.5401833505965477
25,14,MJH beam-resource matching,135.723492462265,5.4289396984906,3,2.55945235180435
25,15,Random,125.13769633147773,5.005507853259109,10,1.340761032122976
25,15,Gao matching,125.81143553663611,5.032457421465445,10,1.3479796664639585
25,15,Mussbah,133.3412678422102,5.3336507136884075,4,2.4723350032548246
25,15,Hybrid#3 (TopAP N=8 adaptive),130.26947188636728,5.210778875454691,7,1.5928608749097286
25,15,MJH weighted-count strict,136.01566862847443,5.440626745138977,2,2.521922162456263
25,15,MJH beam-resource matching,134.51518846507878,5.380607538603151,3,2.494101145829644
25,16,Random,143.49234202200276,5.7396936808801104,10,1.5374179502357441
25,16,Gao matching,143.99591015419236,5.759836406167694,10,1.5428133230806327
25,16,Mussbah,152.74912987483594,6.109965194993438,4,2.938707728377259
25,16,Hybrid#3 (TopAP N=8 adaptive),146.80960488172903,5.872384195269161,8,1.8320666166605124
25,16,MJH weighted-count strict,153.7504423116039,6.150017692464156,2,2.9579717634579263
25,16,MJH beam-resource matching,153.42941970258028,6.137176788103211,3,2.9517956783771497
25,17,Random,143.09381965091163,5.723752786036465,10,1.5331480676883391
25,17,Gao matching,139.46741461683246,5.578696584673298,10,1.4942937280374908
25,17,Mussbah,150.5682831601482,6.022731326405928,4,2.7850351407635774
25,17,Hybrid#3 (TopAP N=8 adaptive),145.4114625513385,5.81645850205354,7,1.7780085088812536
25,17,MJH weighted-count strict,154.46436369189306,6.178574547675722,2,2.857100259422154
25,17,MJH beam-resource matching,150.7572317360362,6.0302892694414485,4,2.788530089451314
25,18,Random,156.18506273072225,6.24740250922889,10,1.673411386400596
25,18,Gao matching,155.24607974934722,6.209843189973888,10,1.663350854457292
25,18,Mussbah,167.89232399850897,6.715692959940359,3,3.2592013200176457
25,18,Hybrid#3 (TopAP N=8 adaptive),160.82511148204983,6.433004459281993,6,1.9087146056617528
25,18,MJH weighted-count strict,168.42732193305292,6.737092877322117,2,3.2695869405924602
25,18,MJH beam-resource matching,167.54231133466575,6.70169245338663,3,3.2524067167335144
25,19,Random,128.6161933677521,5.144647734710084,10,1.3780306432259155
25,19,Gao matching,128.0991300232975,5.1239652009319006,10,1.372490678821045
25,19,Mussbah,138.99247709775753,5.559699083910301,3,2.980539180080576
25,19,Hybrid#3 (TopAP N=8 adaptive),132.2011639492889,5.2880465579715565,7,1.5689980886079191
25,19,MJH weighted-count strict,143.11348587039683,5.724539434815873,2,3.0689096326747
25,19,MJH beam-resource matching,142.9359843250468,5.717439373001872,2,3.0651033093290954
25,20,Random,170.91323152678135,6.836529261071254,10,1.8312131949298005
