K,scheme,p5_se,mean_se,median_se,mean_tau_p,mean_ee,mean_sum_se,random_mean_se,random_p5_se,random_mean_ee,mean_vs_random_pct,p5_vs_random_pct,ee_vs_random_pct
50,Hybrid#3 (TopAP N=8 adaptive),1.2885831551421498,5.694974473907238,5.504947414121263,7.78,1.7250391355484374,284.7487236953619,5.40260430139385,1.1972215533489712,1.447126152159067,5.4116525327971585,7.631135735705235,19.204475226622975
50,MJH weighted-count strict,1.3046413589427506,5.870429799363815,5.658264071255888,3.08,2.2601519975699067,293.52148996819074,5.40260430139385,1.1972215533489712,1.447126152159067,8.659258977180102,8.972424969571879,56.18209885833592
50,MJH beam-resource matching,1.319582047396608,5.831018329246025,5.633476508192687,4.32,2.245226935510767,291.5509164623013,5.40260430139385,1.1972215533489712,1.447126152159067,7.929768755073303,10.220371802141344,55.150740117643394
60,Random,0.9274346294143923,4.987788707738441,4.779581553429624,15.0,1.5668446202319715,299.2673224643065,4.987788707738441,0.9274346294143923,1.5668446202319715,0.0,0.0,0.0
60,Gao matching,0.9424732875805522,4.984386318490291,4.7668325214646465,15.0,1.565775806855589,299.0631791094175,4.987788707738441,0.9274346294143923,1.5668446202319715,-0.06821438211429798,1.6215329565228467,-0.06821438211430947
60,Mussbah,0.9989083832536563,5.242800691453596,4.979272088623856,7.86,2.2074014271910727,314.56804148721574,4.987788707738441,0.9274346294143923,1.5668446202319715,5.112726273258308,7.706608268918588,40.88196102458882
60,Hybrid#3 (TopAP N=8 adaptive),0.9901552221157873,5.207416240653535,4.971289855639218,8.96,1.76879668729903,312.4449744392121,4.987788707738441,0.9274346294143923,1.5668446202319715,4.403304666341344,6.762804699345612,12.889093433984504
60,MJH weighted-count strict,0.9805124287262871,5.399285908802826,5.160794659969424,3.46,2.273304602683158,323.9571545281695,4.987788707738441,0.9274346294143923,1.5668446202319715,8.2500928803571,5.7230771451147575,45.08806893351015
60,MJH beam-resource matching,1.054083067060402,5.356498887665565,5.129624435172246,4.86,2.2553216527605247,321.3899332599339,4.987788707738441,0.9274346294143923,1.5668446202319715,7.392257401663356,13.655780540131335,43.94035143233438
70,Random,0.8295607607611466,4.607223025319077,4.379748609039323,15.0,1.6510526199948914,322.5056117723354,4.607223025319077,0.8295607607611466,1.6510526199948914,0.0,0.0,0.0
70,Gao matching,0.8284773540026344,4.60962115771765,4.38070397029488,15.0,1.651912018977315,322.6734810402355,4.607223025319077,0.8295607607611466,1.6510526199948914,0.05205158042912962,-0.13060004881596535,0.052051580429118505
70,Mussbah,0.8595165638990627,4.830929498785237,4.579330651861515,8.5,2.202807818351126,338.16506491496665,4.607223025319077,0.8295607607611466,1.6510526199948914,4.855559894469565,3.611043886698641,33.41838967906073
70,Hybrid#3 (TopAP N=8 adaptive),0.8683105841881554,4.786837802313961,4.535338214657365,9.86,1.8107583786852928,335.0786461619773,4.607223025319077,0.8295607607611466,1.6510526199948914,3.898547476599421,4.671125402731769,9.672966007037106
70,MJH weighted-count strict,0.9096266578952193,4.983858402418701,4.701906941676773,3.7,2.2724739501910483,348.87008816930904,4.607223025319077,0.8295607607611466,1.6510526199948914,8.174889190946853,9.651601295679646,37.637887652428645
70,MJH beam-resource matching,0.881706567002495,4.935620390166946,4.685373561150373,5.18,2.2505753537673665,345.4934273116862,4.607223025319077,0.8295607607611466,1.6510526199948914,7.127880787258517,6.285953809278903,36.311546131965805
