K,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
35,H3TopAPAdaptive,4.025304100544932,1.4802899420271172,0.9642539327839447,6.255,5.740799999999999,122.365
35,H4TopAPGreedy,3.7788781325772507,1.388203104776875,0.9057697080985804,15.0,5.740799999999999,173.305
35,Proposed,3.813618726273294,1.411930086789742,0.9546018133992373,13.09,3.3182000000000005,367.22
35,MatchingBeamFixed,3.7603445570477625,1.3946107412719855,0.9411516479600442,15.0,3.3182000000000005,367.22
35,MatchingBeamAdaptive,4.055142746561272,1.4984749014281022,1.0138992813887417,4.505,3.3182000000000005,367.22
40,Random,3.6738640223488965,1.2853493791280253,0.9361588300563275,15.0,6.0676,120.56
40,GaoMatching,3.6723902785560147,1.2854977002189436,0.9357708664583733,15.0,6.0676,120.56
40,Greedy,3.6724195598619267,1.2810074761206822,0.9357777818759015,15.0,6.0676,120.56
40,WGF,3.672392677774763,1.284550659456963,0.9357720233219728,15.0,6.0676,120.56
40,GC,3.6724743052946907,1.2807698821517046,0.935793851370894,15.0,6.0676,120.56
40,TopAPBisect,3.6722299276121215,1.2808891408521934,0.9357301216343089,15.0,6.0676,520.98
40,H2GaoGreedy,3.672274393279182,1.2848353582842422,0.9357418271466781,15.0,6.0676,120.56
40,H3TopAPAdaptive,3.897162990912376,1.3655175750896364,0.9923881569423867,6.785,6.0676,160.71
40,H4TopAPGreedy,3.6722805892007004,1.2848319443051543,0.9357437507703557,15.0,6.0676,228.265
40,Proposed,3.667530067754914,1.286854441499552,0.9779004691388872,14.49,3.6451499999999997,482.21
40,MatchingBeamFixed,3.6537851582519205,1.2765626239663734,0.9740518551452435,15.0,3.6451499999999997,482.21
40,MatchingBeamAdaptive,3.935613164919795,1.3742239091355857,1.0480496305674079,4.655,3.6451499999999997,482.21
45,Random,3.6041082069107233,1.1763489445297077,0.9663223679578238,15.0,6.398,154.95
45,GaoMatching,3.6025555616607465,1.1827839771369362,0.9659064770779432,15.0,6.398,154.95
45,Greedy,3.6023398908138033,1.1810856006642958,0.9658493351722817,15.0,6.398,154.95
45,WGF,3.6023745938909246,1.1817754107062248,0.9658592726165074,15.0,6.398,154.95
